year,month,hadcrut4,gistemp,berkeley,cowtan_way
1893,8,-0.399,-0.486,-0.478,-0.362
1893,9,-0.538,-0.426,-0.591,-0.506
1893,10,-0.382,-0.386,-0.465,-0.379
1893,11,-0.523,-0.386,-0.561,-0.479
1893,12,-0.448,-0.576,-0.636,-0.588
1894,1,-0.573,-0.756,-0.768,-0.695
1894,2,-0.482,-0.556,-0.667,-0.525
1894,3,-0.488,-0.466,-0.574,-0.541
1894,4,-0.496,-0.706,-0.747,-0.601
1894,5,-0.529,-0.576,-0.613,-0.572
1894,6,-0.601,-0.666,-0.66,-0.608
1894,7,-0.423,-0.486,-0.492,-0.364
1894,8,-0.449,-0.446,-0.519,-0.445
1894,9,-0.566,-0.476,-0.596,-0.471
1894,10,-0.552,-0.426,-0.424,-0.398
1894,11,-0.528,-0.476,-0.61,-0.489
1894,12,-0.518,-0.416,-0.56,-0.581
1895,1,-0.605,-0.666,-0.694,-0.613
1895,2,-0.785,-0.646,-0.716,-0.697
1895,3,-0.627,-0.506,-0.654,-0.695
1895,4,-0.513,-0.466,-0.519,-0.496
1895,5,-0.523,-0.496,-0.572,-0.57
1895,6,-0.441,-0.466,-0.508,-0.458
1895,7,-0.456,-0.396,-0.44,-0.398
1895,8,-0.369,-0.386,-0.489,-0.383
1895,9,-0.392,-0.316,-0.549,-0.396
1895,10,-0.445,-0.306,-0.454,-0.414
1895,11,-0.405,-0.366,-0.45,-0.347
1895,12,-0.426,-0.376,-0.415,-0.439
1896,1,-0.327,-0.476,-0.454,-0.4
1896,2,-0.338,-0.366,-0.536,-0.376
1896,3,-0.495,-0.476,-0.66,-0.571
1896,4,-0.46,-0.526,-0.698,-0.573
1896,5,-0.313,-0.406,-0.482,-0.423
1896,6,-0.227,-0.366,-0.366,-0.28
1896,7,-0.22,-0.256,-0.314,-0.199
1896,8,-0.171,-0.266,-0.328,-0.213
1896,9,-0.217,-0.256,-0.396,-0.195
1896,10,-0.231,-0.106,-0.276,-0.206
1896,11,-0.394,-0.296,-0.477,-0.341
1896,12,-0.142,-0.256,-0.323,-0.117
1897,1,-0.311,-0.366,-0.401,-0.36
1897,2,-0.233,-0.366,-0.525,-0.383
1897,3,-0.383,-0.356,-0.516,-0.386
1897,4,-0.184,-0.246,-0.28,-0.202
1897,5,-0.139,-0.276,-0.238,-0.183
1897,6,-0.263,-0.386,-0.377,-0.267
1897,7,-0.265,-0.296,-0.402,-0.287
1897,8,-0.257,-0.336,-0.422,-0.29
1897,9,-0.243,-0.296,-0.475,-0.31
1897,10,-0.366,-0.346,-0.438,-0.356
1897,11,-0.561,-0.416,-0.569,-0.482
1897,12,-0.585,-0.416,-0.473,-0.486
1898,1,-0.193,-0.256,-0.371,-0.334
1898,2,-0.488,-0.526,-0.732,-0.623
1898,3,-0.857,-0.746,-0.845,-0.839
1898,4,-0.681,-0.556,-0.619,-0.618
1898,5,-0.582,-0.546,-0.672,-0.666
1898,6,-0.427,-0.436,-0.466,-0.423
1898,7,-0.485,-0.466,-0.559,-0.465
1898,8,-0.414,-0.476,-0.576,-0.455
1898,9,-0.44,-0.446,-0.599,-0.481
1898,10,-0.664,-0.556,-0.691,-0.624
1898,11,-0.557,-0.606,-0.759,-0.591
1898,12,-0.454,-0.476,-0.628,-0.587
1899,1,-0.316,-0.416,-0.451,-0.429
1899,2,-0.602,-0.626,-0.73,-0.601
1899,3,-0.652,-0.566,-0.651,-0.671
1899,4,-0.459,-0.436,-0.454,-0.472
1899,5,-0.424,-0.456,-0.457,-0.404
1899,6,-0.498,-0.556,-0.618,-0.564
1899,7,-0.383,-0.406,-0.484,-0.401
1899,8,-0.255,-0.296,-0.349,-0.242
1899,9,-0.244,-0.256,-0.336,-0.238
1899,10,-0.296,-0.276,-0.305,-0.279
1899,11,-0.08,-0.106,-0.177,-0.137
1899,12,-0.558,-0.506,-0.505,-0.512
1900,1,-0.374,-0.596,-0.637,-0.571
1900,2,-0.28,-0.256,-0.237,-0.198
1900,3,-0.393,-0.216,-0.188,-0.273
1900,4,-0.369,-0.346,-0.331,-0.289
1900,5,-0.381,-0.326,-0.284,-0.341
1900,6,-0.288,-0.356,-0.363,-0.252
1900,7,-0.298,-0.356,-0.392,-0.261
1900,8,-0.293,-0.336,-0.383,-0.301
1900,9,-0.338,-0.276,-0.38,-0.296
1900,10,-0.166,-0.136,-0.192,-0.135
1900,11,-0.371,-0.326,-0.444,-0.358
1900,12,-0.183,-0.296,-0.378,-0.319
